module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M1,M1.8.9,,1.   What is the tangent of 90(?,Positive infinity,Negative infinity,0,,A,EASY,,,,DRAFT,Computed from question data,1,1.doc,"{""raw"": ""1.   What is the tangent of 90(?\na) Positive infinity\n     b) Negative infinity\n     c) 0"", ""question"": ""1.   What is the tangent of 90(?"", ""options"": [""Positive infinity"", ""Negative infinity"", ""0""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,,,What  is its volume?,2.88 m3,0.028 m3,0.000288m3,,A,EASY,"2.   A cuboid has dimensions of 4 cm, 6 cm and 12 cm.",,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""2.   A cuboid has dimensions of 4 cm, 6 cm and 12 cm.\nWhat  is its volume?\na) 2.88 m3 \n     b) 0.028 m3\n     c) 0.000288m3"", ""question"": ""What  is its volume?"", ""options"": [""2.88 m3"", ""0.028 m3"", ""0.000288m3""], ""correct"": null, ""answer_text"": null, ""category"": ""2.   A cuboid has dimensions of 4 cm, 6 cm and 12 cm."", ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.8.9,,Work out the following sum:   4 (2 (5,37,28,54,,B,EASY,,,,DRAFT,Matched from 1.doc Exam 1 Q3 via answer key (score=0.81),1,1.doc,"{""raw"": ""3.  Work out the following sum:   4 (2 (5 \n 1) \n 3) + 8 \n     a) 37\n     b) 28\n     c) 54"", ""question"": ""Work out the following sum:   4 (2 (5"", ""options"": [""37"", ""28"", ""54""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,M1.8.9,,4.  100000 in binary is what number in decimal?,16,32,64,,B,EASY,,,,DRAFT,Computed from question data,1,1.doc,"{""raw"": ""4.  100000 in binary is what number in decimal?\n     a) 16\n     b) 32\n     c) 64"", ""question"": ""4.  100000 in binary is what number in decimal?"", ""options"": [""16"", ""32"", ""64""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,M1.8.9,,5.  D in hexadecimal is what number in decimal?,8,13,17,,B,EASY,,,,DRAFT,Matched from 1.doc Exam 1 Q5 via answer key (score=0.89),1,1.doc,"{""raw"": ""5.  D in hexadecimal is what number in decimal?\n     a) 8\n     b) 13\n     c) 17"", ""question"": ""5.  D in hexadecimal is what number in decimal?"", ""options"": [""8"", ""13"", ""17""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,M1.8.9,,6.  In the following equation what is the y-intercept?,4,2,8,,B,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 1 Q8 via answer key (score=0.53),1,1.doc,"{""raw"": ""6.  In the following equation what is the y-intercept?          \n     4y = 2x +  8\n     a) 4\n     b) 2\n     c) 8\nTwo angles of a triangle are 68( and 32(.\nTherefore the third angle \n     must be: \n     a) 63( \n     b) 114(\n     c) 80("", ""question"": ""6.  In the following equation what is the y-intercept?"", ""options"": [""4"", ""2"", ""8""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,M1.8.9,,Solve the following equation to find x:,5,25,125,,B,EASY,,,,DRAFT,Matched from 1.doc Exam 1 Q8 via answer key (score=0.74),1,1.doc,"{""raw"": ""8.  Solve the following equation to find x:\n     4x + 8y = 64 \n     2x \n 8y = 86  \n     a) 5 \n     b) 25\n     c) 125"", ""question"": ""Solve the following equation to find x:"", ""options"": [""5"", ""25"", ""125""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,M1.8.9,,Simplify the following,+1,-1,0,,A,EASY,,,,DRAFT,Matched from 1.doc Exam 1 Q9 via answer key (score=0.59),1,1.doc,"{""raw"": ""9.  Simplify the following \n     (w + z)(x \n y)(y \n w) \n     (y \n x)(w \n y)(w + z)\n     a) +1\n     b) -1\n     c) 0"", ""question"": ""Simplify the following"", ""options"": [""+1"", ""-1"", ""0""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,,,101012  + 110012  =,462,468,4610,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 1 Q10 via answer key (score=0.51),1,1.doc,"{""raw"": ""10. 101012  + 110012  = \n     a) 462  \n     b) 468\n     c) 4610\nModule 1\nMathematics\nExam 2"", ""question"": ""101012  + 110012  ="", ""options"": [""462"", ""468"", ""4610""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.11.2,,Which of the following formulae are correct for the,C2 = A2 + B2,B2 = C2 + A2,A2 = C2 + B2,,A,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 2 Q1 via answer key (score=0.71),1,1.doc,"{""raw"": ""1.   Which of the following formulae are correct for the\n     triangle shown?\n          a) C2 = A2 + B2\nb) B2 = C2 + A2\nc) A2 = C2 + B2"", ""question"": ""Which of the following formulae are correct for the"", ""options"": [""C2 = A2 + B2"", ""B2 = C2 + A2"", ""A2 = C2 + B2""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.11.2"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,,,A rectangle 11cm x 120cm.  What is its area in m2,1320,13.2,0.132,,A,EASY,,,,DRAFT,Computed from question data,1,1.doc,"{""raw"": ""2.   A rectangle 11cm x 120cm.  What is its area in m2 \na) 1320\nb) 13.2 \nc) 0.132"", ""question"": ""A rectangle 11cm x 120cm.  What is its area in m2"", ""options"": [""1320"", ""13.2"", ""0.132""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.9.5,,3.   What is 738 in binary coded decimal?,111100010,1011110010,11100111000,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 2 Q3 via answer key (score=0.67),1,1.doc,"{""raw"": ""3.   What is 738 in binary coded decimal? \na) 111100010\nb) 1011110010\nc) 11100111000"", ""question"": ""3.   What is 738 in binary coded decimal?"", ""options"": [""111100010"", ""1011110010"", ""11100111000""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.9.5"", ""level"": null, ""difficulty"": ""EASY""}"
