module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M13,M13.13.7(a),,1. What was the primary function of early automatic pilots?,To manage thrust levels automatically during all phases of flight,To provide pilot relief by maintaining straight and level flight,To assist in vertical navigation during descent,,To provide pilot relief by maintaining straight and level flight,MEDIUM,,,HIGH,ANSWERED,Early autopilots provided pilot relief by maintaining straight and level flight,1,MODULE 13_Questions.pdf,"{""raw"": ""1. What was the primary function of early automatic pilots?"", ""question"": ""1. What was the primary function of early automatic pilots?"", ""options"": [""To manage thrust levels automatically during all phases of flight"", ""To provide pilot relief by maintaining straight and level flight"", ""To assist in vertical navigation during descent""], ""correct"": ""To provide pilot relief by maintaining straight and level flight"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.30.05,,autopilot systems?,Hydraulic actuators,Transistorised electronics,Pneumatic controllers,,Hydraulic actuators,EASY,2. What technological advancement allowed for major improvements in,,MEDIUM,ANSWERED,Matched from corpus-option,1,MODULE 13_Questions.pdf,"{""raw"": ""autopilot systems?"", ""question"": ""autopilot systems?"", ""options"": [""Hydraulic actuators"", ""Transistorised electronics"", ""Pneumatic controllers""], ""correct"": ""Hydraulic actuators"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.30.05"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""2. What technological advancement allowed for major improvements in"", ""isEssay"": false}",False
M13,M13.30.05,,commercial aircraft?,Pilot Assist Unit,Automatic Flight Control System (AFCS),Avionics Management Console,,Automatic Flight Control System (AFCS),EASY,3. What is the modern term used for advanced autopilot systems in,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""commercial aircraft?"", ""question"": ""commercial aircraft?"", ""options"": [""Pilot Assist Unit"", ""Automatic Flight Control System (AFCS)"", ""Avionics Management Console""], ""correct"": ""Automatic Flight Control System (AFCS)"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.30.05"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""3. What is the modern term used for advanced autopilot systems in"", ""isEssay"": false}",False
M13,M13.0.3,,4. Which statement about AFCS in modern jet transports is correct?,All AFCS are exactly the same across aircraft models,AFCS are tailored to each aircraft but share common features,AFCS do not consider aerodynamic differences between aircraft,,AFCS are tailored to each aircraft but share common features,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""4. Which statement about AFCS in modern jet transports is correct?"", ""question"": ""4. Which statement about AFCS in modern jet transports is correct?"", ""options"": [""All AFCS are exactly the same across aircraft models"", ""AFCS are tailored to each aircraft but share common features"", ""AFCS do not consider aerodynamic differences between aircraft""], ""correct"": ""AFCS are tailored to each aircraft but share common features"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.1.5,,"5. In the context of AFCS, what does the “attitude hold” mode help maintain?",Constant engine performance,Aircraft orientation in pitch and roll,Altitude only,,Aircraft orientation in pitch and roll,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""5. In the context of AFCS, what does the “attitude hold” mode help maintain?"", ""question"": ""5. In the context of AFCS, what does the “attitude hold” mode help maintain?"", ""options"": [""Constant engine performance"", ""Aircraft orientation in pitch and roll"", ""Altitude only""], ""correct"": ""Aircraft orientation in pitch and roll"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.1.5"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.4(b),,though both use “attitude hold”?,They use different electrical power supplies,One is a military aircraft and the other is civilian,Their aerodynamic characteristics are different,,They use different electrical power supplies,EASY,"6. Why would autopilot gains differ between an MD-11 and an A380, even",,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""though both use “attitude hold”?"", ""question"": ""though both use “attitude hold”?"", ""options"": [""They use different electrical power supplies"", ""One is a military aircraft and the other is civilian"", ""Their aerodynamic characteristics are different""], ""correct"": ""They use different electrical power supplies"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.4(b)"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""6. Why would autopilot gains differ between an MD-11 and an A380, even"", ""isEssay"": false}",False
M13,M13.13.7(c),,7. What sensors provide attitude and heading information to the AFCS?,Pitot-static system and GPS,Vertical and directional gyros,Radar altimeter and VOR receiver,,Pitot-static system and GPS,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""7. What sensors provide attitude and heading information to the AFCS?"", ""question"": ""7. What sensors provide attitude and heading information to the AFCS?"", ""options"": [""Pitot-static system and GPS"", ""Vertical and directional gyros"", ""Radar altimeter and VOR receiver""], ""correct"": ""Pitot-static system and GPS"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,"8. In the AFCS, what role do the electric and/or hydraulic actuators play?",They interpret navigation data,They move the aircraft's control surfaces as the “muscles” of the,,,They move the aircraft's control surfaces as the “muscles” of the,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""8. In the AFCS, what role do the electric and/or hydraulic actuators play?"", ""question"": ""8. In the AFCS, what role do the electric and/or hydraulic actuators play?"", ""options"": [""They interpret navigation data"", ""They move the aircraft's control surfaces as the “muscles” of the""], ""correct"": ""They move the aircraft's control surfaces as the “muscles” of the"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,9. What is the function of the AFCS computers in the system?,To manually override pilot control,To process sensor data and compute proper control responses,To activate engine control units,,To process sensor data and compute proper control responses,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus,1,MODULE 13_Questions.pdf,"{""raw"": ""9. What is the function of the AFCS computers in the system?"", ""question"": ""9. What is the function of the AFCS computers in the system?"", ""options"": [""To manually override pilot control"", ""To process sensor data and compute proper control responses"", ""To activate engine control units""], ""correct"": ""To process sensor data and compute proper control responses"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,What is the simplest form of autopilot found in small single-engine,Single-axis “wing leveler”,Multi-axis flight director,Fully integrated autopilot with autoland,,Single-axis “wing leveler”,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""What is the simplest form of autopilot found in small single-engine"", ""question"": ""What is the simplest form of autopilot found in small single-engine"", ""options"": [""Single-axis “wing leveler”"", ""Multi-axis flight director"", ""Fully integrated autopilot with autoland""], ""correct"": ""Single-axis “wing leveler”"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.1(a),,How do modern three-axis autopilots in corporate jets compare to those in,They are significantly less advanced,They are only capable of straight and level flight,They have as many features and functions as those found on jet,,They have as many features and functions as those found on jet,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""How do modern three-axis autopilots in corporate jets compare to those in"", ""question"": ""How do modern three-axis autopilots in corporate jets compare to those in"", ""options"": [""They are significantly less advanced"", ""They are only capable of straight and level flight"", ""They have as many features and functions as those found on jet""], ""correct"": ""They have as many features and functions as those found on jet"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.1(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.30.05,,automatic flight control?,They do not use gyroscopic instruments,They are relatively unstable and can fly in multiple directions,They have fixed wings and stable aerodynamics,,They do not use gyroscopic instruments,EASY,12. What is a key reason helicopters require a different design approach for,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""automatic flight control?"", ""question"": ""automatic flight control?"", ""options"": [""They do not use gyroscopic instruments"", ""They are relatively unstable and can fly in multiple directions"", ""They have fixed wings and stable aerodynamics""], ""correct"": ""They do not use gyroscopic instruments"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.30.05"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""12. What is a key reason helicopters require a different design approach for"", ""isEssay"": false}",False
M13,M13.14.5,,What advantage do autopilot systems bring to both simple and complex,Increased airspeed and fuel efficiency,Reduction in mechanical wear and tear,Reduced pilot workload and mental fatigue,,Reduced pilot workload and mental fatigue,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""What advantage do autopilot systems bring to both simple and complex"", ""question"": ""What advantage do autopilot systems bring to both simple and complex"", ""options"": [""Increased airspeed and fuel efficiency"", ""Reduction in mechanical wear and tear"", ""Reduced pilot workload and mental fatigue""], ""correct"": ""Reduced pilot workload and mental fatigue"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.14.5"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
