module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M11A,M11A.11.03,,1. What is the primary function of the horizontal stabiliser in a conventional aircraft?,To generate thrust for forward motion,To provide longitudinal pitch stability,To control yaw during turns,,To provide longitudinal pitch stability,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""1. What is the primary function of the horizontal stabiliser in a conventional aircraft?\nA) To generate thrust for forward motion\nB) To provide longitudinal pitch stability\nC) To control yaw during turns"", ""question"": ""1. What is the primary function of the horizontal stabiliser in a conventional aircraft?"", ""options"": [""To generate thrust for forward motion"", ""To provide longitudinal pitch stability"", ""To control yaw during turns""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.11.03,,2. Why do some aircraft have an offset vertical stabiliser?,To counteract the yawing moment caused by propeller slipstream,To increase engine efficiency,To reduce drag during cruise,,To counteract the yawing moment caused by propeller slipstream,MEDIUM,,,,REVIEWED,KB partial (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. Why do some aircraft have an offset vertical stabiliser?\nA) To counteract the yawing moment caused by propeller slipstream\nB) To increase engine efficiency\nC) To reduce drag during cruise"", ""question"": ""2. Why do some aircraft have an offset vertical stabiliser?"", ""options"": [""To counteract the yawing moment caused by propeller slipstream"", ""To increase engine efficiency"", ""To reduce drag during cruise""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.81.2,,3. What is a potential danger of a T-tail configuration at high angles of attack?,Increased fuel consumption,Deep stall due to ineffective pitch control,Excessive rudder authority,,Deep stall due to ineffective pitch control,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""3. What is a potential danger of a T-tail configuration at high angles of attack?\nA) Increased fuel consumption\nB) Deep stall due to ineffective pitch control\nC) Excessive rudder authority"", ""question"": ""3. What is a potential danger of a T-tail configuration at high angles of attack?"", ""options"": [""Increased fuel consumption"", ""Deep stall due to ineffective pitch control"", ""Excessive rudder authority""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.11.06,,4. How do spoilers assist in roll control when used with ailerons?,By increasing lift on both wings symmetrically,By deploying asymmetrically to spoil lift on the down-going wing,By reducing engine power,,By deploying asymmetrically to spoil lift on the down-going wing,MEDIUM,,,,REVIEWED,KB direct (score=6),1,Module 11 Rans.pdf,"{""raw"": ""4. How do spoilers assist in roll control when used with ailerons?\nA) By increasing lift on both wings symmetrically\nB) By deploying asymmetrically to spoil lift on the down-going wing\nC) By reducing engine power"", ""question"": ""4. How do spoilers assist in roll control when used with ailerons?"", ""options"": [""By increasing lift on both wings symmetrically"", ""By deploying asymmetrically to spoil lift on the down-going wing"", ""By reducing engine power""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.06"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.13.1(b),,5. What is the key aerodynamic advantage of a canard design?,"The fore-plane contributes to total lift, reducing wing drag",It eliminates the need for a vertical stabiliser,It allows for shorter landing gear,,"The fore-plane contributes to total lift, reducing wing drag",MEDIUM,,,,REVIEWED,KB direct (score=3),1,Module 11 Rans.pdf,"{""raw"": ""5. What is the key aerodynamic advantage of a canard design?\nA) The fore-plane contributes to total lift, reducing wing drag\nB) It eliminates the need for a vertical stabiliser\nC) It allows for shorter landing gear\nImage 1 (Fig 01.1 - Typical Aircraft Flight Controls)"", ""question"": ""5. What is the key aerodynamic advantage of a canard design?"", ""options"": [""The fore-plane contributes to total lift, reducing wing drag"", ""It eliminates the need for a vertical stabiliser"", ""It allows for shorter landing gear""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.13.1(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.11.04,,longitudinal axis?,Elevator,Aileron,Rudder,,Aileron,EASY,1. Which control surface is primarily responsible for roll movement around the,,,REVIEWED,Extra KB direct (score=7),1,Module 11 Rans.pdf,"{""raw"": ""1. Which control surface is primarily responsible for roll movement around the\nlongitudinal axis?\nA) Elevator\nB) Aileron\nC) Rudder"", ""question"": ""longitudinal axis?"", ""options"": [""Elevator"", ""Aileron"", ""Rudder""], ""correct"": null, ""answer_text"": null, ""category"": ""1. Which control surface is primarily responsible for roll movement around the"", ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.04"", ""level"": null, ""difficulty"": ""EASY""}"
M11A,M11A.3.000,,2. What is the function of the spoilers shown in Fig 01.1?,Increase lift during takeoff,Assist in roll control or reduce lift symmetrically,Provide yaw stability,,Assist in roll control or reduce lift symmetrically,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. What is the function of the spoilers shown in Fig 01.1?\nA) Increase lift during takeoff\nB) Assist in roll control or reduce lift symmetrically\nC) Provide yaw stability"", ""question"": ""2. What is the function of the spoilers shown in Fig 01.1?"", ""options"": [""Increase lift during takeoff"", ""Assist in roll control or reduce lift symmetrically"", ""Provide yaw stability""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.81.2,,3. Which axis does the elevator primarily control?,Vertical (yaw),Longitudinal (roll),Lateral (pitch),,Lateral (pitch),MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""3. Which axis does the elevator primarily control?\nA) Vertical (yaw)\nB) Longitudinal (roll)\nC) Lateral (pitch)"", ""question"": ""3. Which axis does the elevator primarily control?"", ""options"": [""Vertical (yaw)"", ""Longitudinal (roll)"", ""Lateral (pitch)""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.11.4(e),,4. What is the combined effect of flaps being extended?,Reduced lift and increased speed,Increased lift and drag,Improved roll response,,Increased lift and drag,MEDIUM,,,,REVIEWED,Fixed: flaps increase lift and drag,1,Module 11 Rans.pdf,"{""raw"": ""4. What is the combined effect of flaps being extended?\nA) Reduced lift and increased speed\nB) Increased lift and drag\nC) Improved roll response"", ""question"": ""4. What is the combined effect of flaps being extended?"", ""options"": [""Reduced lift and increased speed"", ""Increased lift and drag"", ""Improved roll response""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.4(e)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M11A,M11A.3.000,,"5. In Fig 01.1, what is the purpose of the rudder?",Control pitch attitude,Induce yaw around the vertical axis,Assist in wing levelling,,Induce yaw around the vertical axis,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""5. In Fig 01.1, what is the purpose of the rudder?\nA) Control pitch attitude\nB) Induce yaw around the vertical axis\nC) Assist in wing levelling\nImage 2 (Fig 01.2 - Horizontal Stabiliser)"", ""question"": ""5. In Fig 01.1, what is the purpose of the rudder?"", ""options"": [""Control pitch attitude"", ""Induce yaw around the vertical axis"", ""Assist in wing levelling""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""pdf"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": null, ""difficulty"": ""MEDIUM""}"
