module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M2,M2.02.01,,What is the most common form of matter in the universe?,Liquid,Plasma,Solid,,Plasma,MEDIUM,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""What is the most common form of matter in the universe?"", ""question"": ""What is the most common form of matter in the universe?"", ""options"": [""Liquid"", ""Plasma"", ""Solid""], ""correct"": ""Plasma"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.01,,Which state of matter is characterized by having molecules with the least motion?,Gas,Solid,Liquid,,Solid,MEDIUM,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""Which state of matter is characterized by having molecules with the least motion?"", ""question"": ""Which state of matter is characterized by having molecules with the least motion?"", ""options"": [""Gas"", ""Solid"", ""Liquid""], ""correct"": ""Solid"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.03,,Which substance is a good example of a catalyst?,Water,Two-part epoxy mix,Oxygen gas,,Two-part epoxy mix,EASY,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""Which substance is a good example of a catalyst?"", ""question"": ""Which substance is a good example of a catalyst?"", ""options"": [""Water"", ""Two-part epoxy mix"", ""Oxygen gas""], ""correct"": ""Two-part epoxy mix"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M2,,,What happens to the boiling point of a liquid when pressure is increased?,It decreases,It remains the same,It increases,,It remains the same,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,1.docx,"{""raw"": ""What happens to the boiling point of a liquid when pressure is increased?"", ""question"": ""What happens to the boiling point of a liquid when pressure is increased?"", ""options"": [""It decreases"", ""It remains the same"", ""It increases""], ""correct"": ""It remains the same"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.01,,Which state of matter is compressible?,Solid,Gas,Plasma,,Gas,EASY,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""Which state of matter is compressible?"", ""question"": ""Which state of matter is compressible?"", ""options"": [""Solid"", ""Gas"", ""Plasma""], ""correct"": ""Gas"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.03,,What type of substance has molecules that are tightly bound together?,Gas,Solid,Liquid,,Solid,MEDIUM,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""What type of substance has molecules that are tightly bound together?"", ""question"": ""What type of substance has molecules that are tightly bound together?"", ""options"": [""Gas"", ""Solid"", ""Liquid""], ""correct"": ""Solid"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.01,,What is the physical condition of a substance called?,State of matter,Temperature,Chemical composition,,State of matter,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,1.docx,"{""raw"": ""What is the physical condition of a substance called?"", ""question"": ""What is the physical condition of a substance called?"", ""options"": [""State of matter"", ""Temperature"", ""Chemical composition""], ""correct"": ""State of matter"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.01,,Which state of matter has the ability to conduct electricity?,Solid,Liquid,Plasma,,Plasma,MEDIUM,,,,DRAFT,Answered from doc-text: 1.txt,1,1.docx,"{""raw"": ""Which state of matter has the ability to conduct electricity?"", ""question"": ""Which state of matter has the ability to conduct electricity?"", ""options"": [""Solid"", ""Liquid"", ""Plasma""], ""correct"": ""Plasma"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.2.3(a),,What is the temperature at which a substance changes from a liquid to a vapor?,Freezing point,Melting point,Boiling point,,Melting point,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,1.docx,"{""raw"": ""What is the temperature at which a substance changes from a liquid to a vapor?"", ""question"": ""What is the temperature at which a substance changes from a liquid to a vapor?"", ""options"": [""Freezing point"", ""Melting point"", ""Boiling point""], ""correct"": ""Melting point"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M2,M2.02.01,,What is the primary factor determining the state of matter of a substance?,Chemical composition,Volume,Degree of motion between particles,,Degree of motion between particles,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,1.docx,"{""raw"": ""What is the primary factor determining the state of matter of a substance?"", ""question"": ""What is the primary factor determining the state of matter of a substance?"", ""options"": [""Chemical composition"", ""Volume"", ""Degree of motion between particles""], ""correct"": ""Degree of motion between particles"", ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""csv"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
