module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M4,,,1. Which of the following is a characteristic of a PN junction diode?,It allows current to flow in both directions equally.,It allows current to flow in one direction only.,It blocks all current flow.,,C,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""1. Which of the following is a characteristic of a PN junction diode?\n    a) It allows current to flow in both directions equally.\n    b) It allows current to flow in one direction only.\n    c) It blocks all current flow."", ""question"": ""1. Which of the following is a characteristic of a PN junction diode?"", ""options"": [""It allows current to flow in both directions equally."", ""It allows current to flow in one direction only."", ""It blocks all current flow.""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,2. What material is commonly used to manufacture diodes?,Copper,Silicon,Aluminium,,B,MEDIUM,,,,DRAFT,ANSWERED,Found in Suntech corpus - Silicon is the most stable and commonly used semiconductor material for diodes,4.1 Diodes.docx,"{""raw"": ""2. What material is commonly used to manufacture diodes?\n    a) Copper\n    b) Silicon\n    c) Aluminium"", ""question"": ""2. What material is commonly used to manufacture diodes?"", ""options"": [""Copper"", ""Silicon"", ""Aluminium""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,3. What is the primary characteristic of a Zener diode?,It blocks all current flow.,It allows current to flow in reverse direction at a specific voltage.,It amplifies current.,,A,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""3. What is the primary characteristic of a Zener diode?\n    a) It blocks all current flow.\n    b) It allows current to flow in reverse direction at a specific voltage.\n    c) It amplifies current."", ""question"": ""3. What is the primary characteristic of a Zener diode?"", ""options"": [""It blocks all current flow."", ""It allows current to flow in reverse direction at a specific voltage."", ""It amplifies current.""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,4. In which application would you most likely find a Light Emitting Diode (LED)?,Indicator lights,High-power transmission,AC motor control,,B,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""4. In which application would you most likely find a Light Emitting Diode (LED)?\n    a) Indicator lights\n    b) High-power transmission\n    c) AC motor control"", ""question"": ""4. In which application would you most likely find a Light Emitting Diode (LED)?"", ""options"": [""Indicator lights"", ""High-power transmission"", ""AC motor control""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?,High resistance to current flow,Ability to handle high voltage and current,Emission of light,,A,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?\n    a) High resistance to current flow\n    b) Ability to handle high voltage and current\n    c) Emission of light"", ""question"": ""5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?"", ""options"": [""High resistance to current flow"", ""Ability to handle high voltage and current"", ""Emission of light""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,6. What happens to a diode in forward bias?,It blocks current.,It allows current to flow.,It emits light.,,A,EASY,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""6. What happens to a diode in forward bias?\n    a) It blocks current.\n    b) It allows current to flow.\n    c) It emits light."", ""question"": ""6. What happens to a diode in forward bias?"", ""options"": [""It blocks current."", ""It allows current to flow."", ""It emits light.""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""EASY""}"
M4,,,7. Which term describes the maximum reverse voltage a diode can withstand?,Peak Inverse Voltage (PIV),Forward Voltage Drop,Threshold Voltage,,A,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""7. Which term describes the maximum reverse voltage a diode can withstand?\n    a) Peak Inverse Voltage (PIV)\n    b) Forward Voltage Drop\n    c) Threshold Voltage"", ""question"": ""7. Which term describes the maximum reverse voltage a diode can withstand?"", ""options"": [""Peak Inverse Voltage (PIV)"", ""Forward Voltage Drop"", ""Threshold Voltage""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,8. What is the main function of a rectifier diode in a power supply?,Convert AC to DC,Regulate voltage,Store energy,,A,MEDIUM,,,,DRAFT,ANSWERED,Found in Suntech corpus - Rectifier diodes convert AC to DC,4.1 Diodes.docx,"{""raw"": ""8. What is the main function of a rectifier diode in a power supply?\n    a) Convert AC to DC\n    b) Regulate voltage\n    c) Store energy"", ""question"": ""8. What is the main function of a rectifier diode in a power supply?"", ""options"": [""Convert AC to DC"", ""Regulate voltage"", ""Store energy""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,9. How does doping affect the conductivity of semiconductor materials?,It decreases conductivity.,It increases conductivity.,It has no effect on conductivity.,,C,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""9. How does doping affect the conductivity of semiconductor materials?\n    a) It decreases conductivity.\n    b) It increases conductivity.\n    c) It has no effect on conductivity."", ""question"": ""9. How does doping affect the conductivity of semiconductor materials?"", ""options"": [""It decreases conductivity."", ""It increases conductivity."", ""It has no effect on conductivity.""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
M4,,,10. What is the result of reverse biasing a diode?,Current flows freely.,Current is blocked.,Voltage is amplified.,,B,MEDIUM,,,,DRAFT,ANSWERED,Found in Suntech corpus - Reverse bias blocks majority carrier current flow,4.1 Diodes.docx,"{""raw"": ""10. What is the result of reverse biasing a diode?\n     a) Current flows freely.\n     b) Current is blocked.\n     c) Voltage is amplified."", ""question"": ""10. What is the result of reverse biasing a diode?"", ""options"": [""Current flows freely."", ""Current is blocked."", ""Voltage is amplified.""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""docx"", ""module"": ""M4"", ""difficulty"": ""MEDIUM""}"
