module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M11A,M11A.11.03,,1. What is the primary function of the horizontal stabiliser in a conventional aircraft?,To generate thrust for forward motion,To provide longitudinal pitch stability,To control yaw during turns,,To provide longitudinal pitch stability,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""1. What is the primary function of the horizontal stabiliser in a conventional aircraft?"", ""question"": ""1. What is the primary function of the horizontal stabiliser in a conventional aircraft?"", ""options"": [""To generate thrust for forward motion"", ""To provide longitudinal pitch stability"", ""To control yaw during turns""], ""correct"": ""To provide longitudinal pitch stability"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.03,,2. Why do some aircraft have an offset vertical stabiliser?,To counteract the yawing moment caused by propeller slipstream,To increase engine efficiency,To reduce drag during cruise,,To counteract the yawing moment caused by propeller slipstream,MEDIUM,,,,REVIEWED,KB partial (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. Why do some aircraft have an offset vertical stabiliser?"", ""question"": ""2. Why do some aircraft have an offset vertical stabiliser?"", ""options"": [""To counteract the yawing moment caused by propeller slipstream"", ""To increase engine efficiency"", ""To reduce drag during cruise""], ""correct"": ""To counteract the yawing moment caused by propeller slipstream"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.81.2,,3. What is a potential danger of a T-tail configuration at high angles of attack?,Increased fuel consumption,Deep stall due to ineffective pitch control,Excessive rudder authority,,Deep stall due to ineffective pitch control,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""3. What is a potential danger of a T-tail configuration at high angles of attack?"", ""question"": ""3. What is a potential danger of a T-tail configuration at high angles of attack?"", ""options"": [""Increased fuel consumption"", ""Deep stall due to ineffective pitch control"", ""Excessive rudder authority""], ""correct"": ""Deep stall due to ineffective pitch control"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.06,,4. How do spoilers assist in roll control when used with ailerons?,By increasing lift on both wings symmetrically,By deploying asymmetrically to spoil lift on the down-going wing,By reducing engine power,,By deploying asymmetrically to spoil lift on the down-going wing,MEDIUM,,,,REVIEWED,KB direct (score=6),1,Module 11 Rans.pdf,"{""raw"": ""4. How do spoilers assist in roll control when used with ailerons?"", ""question"": ""4. How do spoilers assist in roll control when used with ailerons?"", ""options"": [""By increasing lift on both wings symmetrically"", ""By deploying asymmetrically to spoil lift on the down-going wing"", ""By reducing engine power""], ""correct"": ""By deploying asymmetrically to spoil lift on the down-going wing"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.06"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.13.1(b),,5. What is the key aerodynamic advantage of a canard design?,"The fore-plane contributes to total lift, reducing wing drag",It eliminates the need for a vertical stabiliser,It allows for shorter landing gear,,"The fore-plane contributes to total lift, reducing wing drag",MEDIUM,,,,REVIEWED,KB direct (score=3),1,Module 11 Rans.pdf,"{""raw"": ""5. What is the key aerodynamic advantage of a canard design?"", ""question"": ""5. What is the key aerodynamic advantage of a canard design?"", ""options"": [""The fore-plane contributes to total lift, reducing wing drag"", ""It eliminates the need for a vertical stabiliser"", ""It allows for shorter landing gear""], ""correct"": ""The fore-plane contributes to total lift, reducing wing drag"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.13.1(b)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.04,,longitudinal axis?,Elevator,Aileron,Rudder,,Aileron,EASY,1. Which control surface is primarily responsible for roll movement around the,,,REVIEWED,Extra KB direct (score=7),1,Module 11 Rans.pdf,"{""raw"": ""longitudinal axis?"", ""question"": ""longitudinal axis?"", ""options"": [""Elevator"", ""Aileron"", ""Rudder""], ""correct"": ""Aileron"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.04"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""1. Which control surface is primarily responsible for roll movement around the"", ""isEssay"": false}",False
M11A,M11A.3.000,,2. What is the function of the spoilers shown in Fig 01.1?,Increase lift during takeoff,Assist in roll control or reduce lift symmetrically,Provide yaw stability,,Assist in roll control or reduce lift symmetrically,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. What is the function of the spoilers shown in Fig 01.1?"", ""question"": ""2. What is the function of the spoilers shown in Fig 01.1?"", ""options"": [""Increase lift during takeoff"", ""Assist in roll control or reduce lift symmetrically"", ""Provide yaw stability""], ""correct"": ""Assist in roll control or reduce lift symmetrically"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.81.2,,3. Which axis does the elevator primarily control?,Vertical (yaw),Longitudinal (roll),Lateral (pitch),,Lateral (pitch),MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""3. Which axis does the elevator primarily control?"", ""question"": ""3. Which axis does the elevator primarily control?"", ""options"": [""Vertical (yaw)"", ""Longitudinal (roll)"", ""Lateral (pitch)""], ""correct"": ""Lateral (pitch)"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.4(e),,4. What is the combined effect of flaps being extended?,Reduced lift and increased speed,Increased lift and drag,Improved roll response,,Increased lift and drag,MEDIUM,,,,REVIEWED,Fixed: flaps increase lift and drag,1,Module 11 Rans.pdf,"{""raw"": ""4. What is the combined effect of flaps being extended?"", ""question"": ""4. What is the combined effect of flaps being extended?"", ""options"": [""Reduced lift and increased speed"", ""Increased lift and drag"", ""Improved roll response""], ""correct"": ""Increased lift and drag"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.4(e)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.3.000,,"5. In Fig 01.1, what is the purpose of the rudder?",Control pitch attitude,Induce yaw around the vertical axis,Assist in wing levelling,,Induce yaw around the vertical axis,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""5. In Fig 01.1, what is the purpose of the rudder?"", ""question"": ""5. In Fig 01.1, what is the purpose of the rudder?"", ""options"": [""Control pitch attitude"", ""Induce yaw around the vertical axis"", ""Assist in wing levelling""], ""correct"": ""Induce yaw around the vertical axis"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
